"","comuna","ModerateSevere","n","n_psu_comuna","n_strata_comuna","deg_free","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U","promhupm","rho","coterho","calidad2","calidadf","incdf14","excn50","excrho","excdf2"
"155",8206,0.295131063425196,79,19,2,17,0.0264332031899073,0.0343418610382066,0.596660831559399,0.0433367932644586,0.00187807765044642,0.146839145840854,0.224058722471484,0.366203404378908,4.15789473684211,-0.12772407000619,-0.0555555555555556,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"156",8207,0.199464999698835,53,6,2,4,0.0288963480898309,0.0949565441683067,4.28540272679057,0.0992559530371667,0.00985174421331625,0.497610875025842,0.0366852367178818,0.362244762679789,8.83333333333333,0.419413114058371,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"157",8301,0.204096630600591,668,107,2,105,0.0076776112685191,0.0145913272285993,1.17934762588086,0.0164879515126214,0.000271852545082555,0.0807850255249323,0.177056390119892,0.23113687108129,6.24299065420561,0.0342071229398423,-0.00943396226415105,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"158",8302,0.33064513992372,53,6,2,4,0.0345485554720039,0.0776206288943085,2.09107127963023,0.0849621369502326,0.00721856471515009,0.256958674698299,0.191307235325339,0.469983044522102,8.83333333333333,0.139285695271944,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"159",8303,0.215296627789048,112,24,2,22,0.017406293796666,0.0407490277419261,1.41075631948345,0.0443109729711289,0.00196346232564812,0.205813595067294,0.142626632116397,0.287966623461699,4.66666666666667,0.112024450768213,-0.0434782608695652,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"160",8304,0.216085059878325,87,18,2,16,0.0212600845999861,0.0410231516520624,1.08959942450074,0.0462048716984116,0.00213489016866668,0.213827238793969,0.140309070292929,0.29186104946372,4.83333333333333,0.0233737629132359,-0.0588235294117647,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"161",8305,0.242353797226477,106,23,2,21,0.023593507745968,0.0372967888863901,1.12593858636013,0.0441328003756277,0.001947704068995,0.182100717548841,0.169976004610447,0.314731589842506,4.60869565217391,0.0348986444130477,-0.0454545454545454,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"162",8306,0.159805580218436,98,18,2,16,0.0209418657538362,0.0391183534148152,1.62570128387672,0.0443712442369839,0.00196880731513808,0.277657664872112,0.0870367396697823,0.23257442076709,5.44444444444444,0.140782788872261,-0.0588235294117647,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"163",8307,0.326710656244165,55,6,2,4,0.0364533267447509,0.0579784397559613,1.20227985393621,0.0684860898817797,0.00469034450729521,0.209623067300863,0.214393468838046,0.439027843650283,9.16666666666667,0.0247689617064746,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"164",8308,0.171354439368257,52,6,2,4,0.0378458029190142,0.0661895646276555,2.71978563734014,0.0762454147092365,0.00581336326418345,0.44495733516059,0.046311959245109,0.296396919491405,8.66666666666667,0.224319865740018,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"165",8309,0.161717694153716,46,6,2,4,0.0252042027816619,0.0619530871699908,1.65906665838098,0.0668837562323739,0.00447343684775162,0.413583415113496,0.0520283339326231,0.271407054374809,7.66666666666667,0.098859998757147,-0.2,0,"Excluir","Excluir","Excluir","Incluir","Incluir"
"166",8310,0.259034186202832,60,6,2,4,0.0291406375898437,0.0471302293635994,0.96661301448254,0.0554115085429742,0.0030704352790081,0.213915813025487,0.168159312192355,0.34990906021331,10,-0.00370966505749559,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"167",8311,0.257121395266163,58,10,2,8,0.0311602047089411,0.0397676440724061,0.689304532105013,0.0505215189060334,0.00255242387257269,0.196488973053896,0.174266104260269,0.339976686272058,5.8,-0.0647282224781222,-0.111111111111111,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"168",8312,0.340525407629529,57,13,2,11,0.0384429959480447,0.03428361548077,0.429321806144922,0.0515095158965281,0.00265323022789468,0.151264824128974,0.256049801559223,0.425001013699835,4.38461538461539,-0.168609466366273,-0.0833333333333333,0,"Excluir","Excluir","Incluir","Excluir","Incluir"
"169",8313,0.318960270337187,80,15,2,13,0.0284961012514482,0.0507798702098562,1.30315640803201,0.0582290563641781,0.00339062300506263,0.182558963543082,0.223464617899935,0.414455922774439,5.33333333333333,0.06995917108431,-0.0714285714285714,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"170",8314,0.284609675009996,48,6,2,4,0.0405089914959035,0.0225014048471318,0.180282196709401,0.0463388779763786,0.00214729161210971,0.16281554017709,0.208613915128736,0.360605434891257,8,-0.117102543327228,-0.2,0,"Excluir","Excluir","Excluir","Incluir","Incluir"
"171",9101,0.218812435967584,1117,242,2,240,0.00633418515387489,0.0142316173605582,1.80080415282291,0.0155775747233294,0.000242660834260911,0.0711914505884718,0.193265213421324,0.244359658513844,4.61570247933884,0.221479548552164,-0.00414937759336098,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"172",9102,0.341637915568177,103,14,2,12,0.0254357009250002,0.0505461920650311,1.56874133575172,0.0565852667557649,0.00320189241382107,0.165629352531489,0.248838078088723,0.434437753047632,7.35714285714286,0.0894649292193711,-0.0769230769230769,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"173",9103,0.274944447423388,84,13,2,11,0.0257648333160138,0.0506062985456328,1.50783519336572,0.0567875346206515,0.0032248240882917,0.206541849282027,0.181812890645519,0.368076004201256,6.46153846153846,0.0929839086444282,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"174",9104,0.33526542432128,55,6,2,4,0.0372946685838381,0.0813090652527955,2.13958626207139,0.0894542139703976,0.00800205639706168,0.266816102947362,0.188560513409828,0.481970335232733,9.16666666666667,0.139541174947517,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"175",9105,0.218412096534246,116,17,2,15,0.0215453667371048,0.0246002951715993,0.591563468624507,0.0327013356052341,0.00106937735036615,0.149723097411441,0.164781906141662,0.27204228692683,6.82352941176471,-0.0701355659937716,-0.0625,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"176",9106,0.237673629181183,77,6,2,4,0.0240037771692675,0.0310803634169059,0.53123491108348,0.0392704762960521,0.00154217030851879,0.165228580180915,0.173270048055658,0.302077210306709,12.8333333333333,-0.039613951176044,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"177",9107,0.174336608589571,69,12,2,10,0.0240071045080126,0.0252088256834056,0.434746827810708,0.0348112906855659,0.00121182595919497,0.199678604322972,0.117246091865243,0.2314271253139,5.75,-0.119000667829325,-0.0909090909090908,0,"Excluir","Excluir","Incluir","Excluir","Incluir"
"178",9108,0.27994070829934,133,26,2,24,0.0160134483048709,0.032073589240987,0.822566474358227,0.035848928204513,0.00128514565341233,0.128059003716529,0.221148466043939,0.338732950554742,5.11538461538461,-0.0431146884737018,-0.04,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
